Ano,cod_ibge,Municipio,Furto de veículo 2014,Furto outros 2014,Homicídio culposo outros 2014,Homicídio culposo por acidente de trânsito 2014,Latrocínio 2014,Lesão corporal culposa outras 2014,Lesão corporal culposa por acidente de trânsito 2014,Lesão corporal dolosa 2014,Vítimas de homicídio 2014,Tentativa de homicídio 2014,Total de estupro 2014,Total de Roubo 2014,Indice Criminalidade 2014,Classificação 2014
2014,3529104,Marinopolis,1,13,0,1,0,0,2,9,0,0,0,0,0.20512143168138333,Baixo
2014,3529203,Martinopolis,7,143,0,8,0,0,82,163,2,4,6,10,0.27060183775404256,Baixo
2014,3529302,Matao,206,644,0,16,0,2,218,404,3,8,17,81,0.26252236939320694,Baixo
2014,3529401,Maua,1564,3390,0,19,9,20,794,770,45,52,84,3563,0.14897929393171974,Muito Baixo
2014,3529500,Mendonca,4,30,0,0,0,0,10,27,0,3,0,3,0.21290768063506288,Baixo
2014,3529609,Meridiano,0,20,0,2,0,2,18,19,0,0,0,1,0.20651588679514638,Baixo
2014,3529658,Mesopolis,0,7,0,0,0,0,3,4,0,0,0,1,0.07248424740452303,Muito Baixo
2014,3529708,Miguelopolis,20,376,0,4,1,0,58,160,3,10,8,38,0.44584278576614544,Médio
2014,3529807,Mineiros do Tiete,4,82,0,3,0,1,12,82,0,2,3,6,0.29017426636173865,Baixo
2014,3529906,Miracatu,17,408,0,16,0,2,116,110,5,4,10,229,0.40536356124511413,Médio
2014,3530003,Mira Estrela,0,14,0,0,0,0,3,9,0,0,1,0,0.11794313668487748,Muito Baixo
2014,3530102,Mirandopolis,4,212,0,1,1,0,76,155,2,5,15,12,0.23826745826483256,Baixo
2014,3530201,Mirante do Paranapanema,9,177,0,5,0,2,43,119,3,0,5,3,0.33571553046699526,Baixo
2014,3530300,Mirassol,48,546,2,18,0,10,336,160,6,5,5,107,0.18449053193461584,Muito Baixo
2014,3530409,Mirassolandia,1,38,0,0,0,0,11,50,0,1,3,2,0.4481451552787673,Médio
2014,3530508,Mococa,117,536,0,13,0,2,249,332,4,3,10,93,0.24216040193722818,Baixo
2014,3530607,Mogi das Cruzes,923,3823,5,22,1,145,865,847,79,56,59,1840,0.16217677390390753,Muito Baixo
2014,3530706,Mogi Guacu,325,1494,1,22,0,17,911,626,6,15,31,418,0.2523162083482541,Baixo
2014,3530805,Mogi Mirim,391,1116,0,11,0,4,531,428,6,8,19,240,0.3065697853663001,Baixo
2014,3530904,Mombuca,1,26,0,3,0,0,9,23,1,3,1,2,0.3158876261176187,Baixo
2014,3531001,Moncoes,0,16,0,1,0,1,10,19,0,0,0,0,0.39122425529409904,Baixo
2014,3531100,Mongagua,212,1580,1,11,2,4,140,249,7,15,12,535,0.49288730447640616,Médio
2014,3531209,Monte Alegre do Sul,2,48,0,0,0,0,19,24,0,1,2,3,0.13640914521442357,Muito Baixo
2014,3531308,Monte Alto,37,444,0,0,0,0,93,247,1,3,18,47,0.2473875471136458,Baixo
2014,3531407,Monte Aprazivel,16,250,1,4,0,3,89,169,1,5,10,16,0.36556828278180886,Baixo
2014,3531506,Monte Azul Paulista,7,272,0,4,0,1,64,157,1,3,6,16,0.4145786033565841,Médio
2014,3531605,Monte Castelo,3,19,0,1,0,2,10,22,0,0,1,1,0.2257960915646374,Baixo
2014,3531704,Monteiro Lobato,4,36,0,1,0,2,11,15,2,3,2,3,0.20748003815647825,Baixo
2014,3531803,Monte Mor,104,458,0,11,0,2,138,252,12,8,26,200,0.23873752335122717,Baixo
2014,3531902,Morro Agudo,27,286,0,2,0,0,45,103,4,11,18,34,0.19738957046617883,Muito Baixo
2014,3532009,Morungaba,15,64,0,0,0,0,24,53,3,3,2,23,0.1742410052141253,Muito Baixo
2014,3532058,Motuca,0,24,0,1,0,0,5,20,0,1,3,0,0.19651371755272112,Muito Baixo
2014,3532108,Murutinga do Sul,5,37,0,0,0,0,5,24,0,2,1,4,0.2726653055245746,Baixo
2014,3532157,Nantes,0,14,0,0,0,1,1,10,0,0,1,0,0.15235452773718736,Muito Baixo
2014,3532207,Narandiba,0,36,0,1,0,0,20,38,0,0,0,0,0.32596012460525364,Baixo
