Territorialidades,IDHM 2010,IDHM Renda 2010,IDHM Longevidade 2010,IDHM Educação 2010
Campos Novos Paulista (SP),"0,706","0,67","0,824","0,638"
Cananéia (SP),"0,72","0,677","0,851","0,649"
Canas (SP),"0,704","0,646","0,797","0,677"
Cândido Mota (SP),"0,747","0,701","0,845","0,704"
Cândido Rodrigues (SP),"0,789","0,747","0,863","0,762"
Canitar (SP),"0,68","0,658","0,791","0,605"
Capão Bonito (SP),"0,721","0,675","0,826","0,671"
Capela do Alto (SP),"0,699","0,673","0,823","0,617"
Capivari (SP),"0,75","0,744","0,848","0,669"
Caraguatatuba (SP),"0,759","0,735","0,845","0,705"
Carapicuíba (SP),"0,749","0,721","0,842","0,693"
Cardoso (SP),"0,722","0,695","0,853","0,636"
Casa Branca (SP),"0,73","0,727","0,835","0,64"
Cássia dos Coqueiros (SP),"0,734","0,68","0,864","0,673"
Castilho (SP),"0,731","0,688","0,827","0,686"
Catanduva (SP),"0,785","0,767","0,853","0,74"
Catiguá (SP),"0,751","0,734","0,852","0,676"
Cedral (SP),"0,766","0,749","0,872","0,689"
Cerqueira César (SP),"0,729","0,71","0,821","0,666"
Cerquilho (SP),"0,782","0,758","0,854","0,739"
Cesário Lange (SP),"0,706","0,715","0,804","0,611"
Charqueada (SP),"0,736","0,72","0,82","0,675"
Chavantes (SP),"0,729","0,713","0,828","0,655"
Clementina (SP),"0,725","0,704","0,821","0,66"
Colina (SP),"0,757","0,72","0,845","0,712"
Colômbia (SP),"0,71","0,689","0,802","0,647"
Conchal (SP),"0,708","0,699","0,827","0,614"
Conchas (SP),"0,736","0,725","0,837","0,658"
Cordeirópolis (SP),"0,758","0,754","0,858","0,674"
Coroados (SP),"0,719","0,704","0,816","0,648"
Coronel Macedo (SP),"0,69","0,653","0,811","0,619"
Corumbataí (SP),"0,754","0,728","0,841","0,7"
Cosmópolis (SP),"0,769","0,746","0,876","0,697"
Cosmorama (SP),"0,722","0,705","0,849","0,63"
Cotia (SP),"0,78","0,789","0,851","0,707"
Cravinhos (SP),"0,756","0,737","0,857","0,683"
Cristais Paulista (SP),"0,734","0,723","0,802","0,682"
Cruzália (SP),"0,774","0,698","0,853","0,778"
Cruzeiro (SP),"0,788","0,742","0,871","0,758"
Cubatão (SP),"0,737","0,716","0,821","0,681"
Cunha (SP),"0,684","0,672","0,826","0,576"
Descalvado (SP),"0,76","0,74","0,865","0,687"
Diadema (SP),"0,757","0,717","0,844","0,716"
Dirce Reis (SP),"0,741","0,686","0,842","0,704"
Divinolândia (SP),"0,734","0,72","0,85","0,645"
Dobrada (SP),"0,718","0,691","0,818","0,655"
Dois Córregos (SP),"0,725","0,725","0,853","0,616"
Dolcinópolis (SP),"0,742","0,699","0,825","0,709"
Dourado (SP),"0,738","0,718","0,811","0,689"
Dracena (SP),"0,776","0,752","0,842","0,737"
Duartina (SP),"0,748","0,716","0,837","0,698"
Dumont (SP),"0,744","0,72","0,849","0,674"
Echaporã (SP),"0,745","0,719","0,834","0,69"
Eldorado (SP),"0,691","0,633","0,847","0,615"
Elias Fausto (SP),"0,695","0,701","0,822","0,583"
Elisiário (SP),"0,747","0,711","0,825","0,712"
Embaúba (SP),"0,73","0,723","0,84","0,641"
Embu-Guaçu (SP),"0,749","0,713","0,834","0,708"
Embu (SP),"0,735","0,7","0,839","0,676"
Emilianópolis (SP),"0,727","0,69","0,805","0,691"
Engenheiro Coelho (SP),"0,732","0,72","0,815","0,668"
Espírito Santo do Pinhal (SP),"0,787","0,784","0,872","0,712"
Espírito Santo do Turvo (SP),"0,696","0,675","0,819","0,609"
Estiva Gerbi (SP),"0,74","0,716","0,815","0,695"
Estrela D'Oeste (SP),"0,76","0,712","0,873","0,705"
