Territorialidades,IDHM 2010,IDHM Renda 2010,IDHM Longevidade 2010,IDHM Educação 2010
Ribeirão Preto (SP),"0,8","0,82","0,844","0,739"
Ribeira (SP),"0,698","0,635","0,797","0,673"
Rifaina (SP),"0,74","0,713","0,824","0,69"
Rincão (SP),"0,734","0,701","0,826","0,682"
Rinópolis (SP),"0,723","0,696","0,843","0,644"
Rio Claro (SP),"0,803","0,784","0,862","0,766"
Rio das Pedras (SP),"0,759","0,741","0,842","0,7"
Rio Grande da Serra (SP),"0,749","0,684","0,823","0,745"
Riolândia (SP),"0,703","0,677","0,817","0,629"
Riversul (SP),"0,664","0,634","0,799","0,577"
Rosana (SP),"0,764","0,749","0,818","0,728"
Roseira (SP),"0,737","0,691","0,823","0,704"
Rubiácea (SP),"0,721","0,684","0,82","0,668"
Rubinéia (SP),"0,759","0,713","0,844","0,726"
Sabino (SP),"0,728","0,708","0,813","0,671"
Sagres (SP),"0,73","0,692","0,83","0,677"
Sales Oliveira (SP),"0,772","0,738","0,845","0,739"
Salesópolis (SP),"0,732","0,687","0,829","0,69"
Sales (SP),"0,751","0,708","0,859","0,697"
Salmourão (SP),"0,719","0,678","0,846","0,649"
Saltinho (SP),"0,791","0,771","0,857","0,75"
Salto de Pirapora (SP),"0,729","0,699","0,834","0,665"
Salto Grande (SP),"0,704","0,664","0,825","0,637"
Salto (SP),"0,78","0,755","0,837","0,751"
Sandovalina (SP),"0,709","0,665","0,812","0,659"
Santa Adélia (SP),"0,76","0,75","0,835","0,702"
Santa Albertina (SP),"0,728","0,716","0,809","0,665"
Santa Bárbara D'Oeste (SP),"0,781","0,752","0,867","0,731"
Santa Branca (SP),"0,735","0,706","0,828","0,678"
Santa Clara D'Oeste (SP),"0,733","0,712","0,804","0,687"
Santa Cruz da Conceição (SP),"0,79","0,83","0,876","0,679"
Santa Cruz da Esperança (SP),"0,743","0,719","0,832","0,686"
Santa Cruz das Palmeiras (SP),"0,728","0,746","0,815","0,635"
Santa Cruz do Rio Pardo (SP),"0,762","0,744","0,867","0,686"
Santa Ernestina (SP),"0,738","0,716","0,802","0,699"
Santa Fé do Sul (SP),"0,784","0,763","0,84","0,751"
Santa Gertrudes (SP),"0,737","0,723","0,847","0,654"
Santa Isabel (SP),"0,738","0,7","0,834","0,689"
Santa Lúcia (SP),"0,737","0,696","0,818","0,703"
Santa Maria da Serra (SP),"0,686","0,688","0,82","0,571"
Santa Mercedes (SP),"0,739","0,683","0,847","0,699"
Santana da Ponte Pensa (SP),"0,773","0,751","0,84","0,733"
Santana de Parnaíba (SP),"0,814","0,876","0,849","0,725"
Santa Rita D'Oeste (SP),"0,761","0,711","0,839","0,74"
Santa Rita do Passa Quatro (SP),"0,775","0,764","0,887","0,686"
Santa Rosa de Viterbo (SP),"0,77","0,746","0,868","0,704"
Santa Salete (SP),"0,772","0,712","0,864","0,748"
Santo Anastácio (SP),"0,753","0,725","0,854","0,689"
Santo André (SP),"0,815","0,819","0,861","0,769"
Santo Antônio da Alegria (SP),"0,702","0,69","0,83","0,604"
Santo Antônio de Posse (SP),"0,702","0,718","0,838","0,576"
Santo Antônio do Aracanguá (SP),"0,757","0,71","0,84","0,728"
Santo Antônio do Jardim (SP),"0,714","0,703","0,835","0,62"
Santo Antônio do Pinhal (SP),"0,706","0,685","0,812","0,632"
Santo Expedito (SP),"0,732","0,664","0,828","0,714"
Santópolis do Aguapeí (SP),"0,74","0,68","0,83","0,719"
Santos (SP),"0,84","0,861","0,852","0,807"
São Bento do Sapucaí (SP),"0,72","0,719","0,812","0,638"
São Bernardo do Campo (SP),"0,805","0,807","0,861","0,752"
São Caetano do Sul (SP),"0,862","0,891","0,887","0,811"
São Carlos (SP),"0,805","0,788","0,863","0,766"
São Francisco (SP),"0,723","0,705","0,814","0,658"
São João da Boa Vista (SP),"0,797","0,776","0,871","0,749"
São João das Duas Pontes (SP),"0,72","0,675","0,806","0,686"
São João de Iracema (SP),"0,748","0,682","0,833","0,738"
São João do Pau D'Alho (SP),"0,75","0,714","0,854","0,692"
São Joaquim da Barra (SP),"0,762","0,74","0,847","0,706"
São José da Bela Vista (SP),"0,693","0,679","0,844","0,58"
São José do Barreiro (SP),"0,684","0,666","0,813","0,591"
São José do Rio Pardo (SP),"0,774","0,744","0,868","0,717"
São José do Rio Preto (SP),"0,797","0,801","0,846","0,748"
São José dos Campos (SP),"0,807","0,804","0,855","0,764"
São Lourenço da Serra (SP),"0,728","0,704","0,823","0,666"
São Luís do Paraitinga (SP),"0,697","0,691","0,826","0,593"
São Manuel (SP),"0,744","0,735","0,805","0,695"
São Miguel Arcanjo (SP),"0,71","0,708","0,799","0,633"
São Paulo (SP),"0,805","0,843","0,855","0,725"
São Pedro do Turvo (SP),"0,703","0,661","0,826","0,636"
São Pedro (SP),"0,755","0,741","0,863","0,674"
São Roque (SP),"0,768","0,765","0,863","0,687"
São Sebastião da Grama (SP),"0,701","0,689","0,82","0,609"
São Sebastião (SP),"0,772","0,747","0,875","0,703"
São Simão (SP),"0,766","0,732","0,852","0,722"
São Vicente (SP),"0,768","0,738","0,857","0,716"
Sarapuí (SP),"0,707","0,699","0,814","0,621"
Sarutaiá (SP),"0,688","0,679","0,794","0,603"
Sebastianópolis do Sul (SP),"0,773","0,748","0,835","0,74"
Serra Azul (SP),"0,686","0,697","0,81","0,572"
Serrana (SP),"0,729","0,713","0,835","0,65"
Serra Negra (SP),"0,767","0,764","0,873","0,676"
Sertãozinho (SP),"0,761","0,768","0,855","0,672"
Sete Barras (SP),"0,673","0,651","0,832","0,562"
Severínia (SP),"0,715","0,709","0,807","0,638"
Silveiras (SP),"0,678","0,657","0,812","0,584"
Socorro (SP),"0,729","0,737","0,828","0,634"
Sorocaba (SP),"0,798","0,792","0,843","0,762"
Sud Mennucci (SP),"0,747","0,743","0,809","0,694"
Sumaré (SP),"0,762","0,744","0,845","0,705"
Suzanápolis (SP),"0,699","0,665","0,813","0,631"
Suzano (SP),"0,765","0,708","0,873","0,723"
Tabapuã (SP),"0,735","0,726","0,82","0,666"
Tabatinga (SP),"0,704","0,7","0,818","0,609"
Taboão da Serra (SP),"0,769","0,742","0,863","0,71"
Taciba (SP),"0,723","0,682","0,809","0,684"
Taguaí (SP),"0,709","0,69","0,818","0,631"
Taiaçu (SP),"0,71","0,701","0,814","0,628"
Taiúva (SP),"0,76","0,732","0,835","0,718"
Tambaú (SP),"0,731","0,729","0,858","0,624"
Tanabi (SP),"0,748","0,735","0,829","0,687"
Tapiraí (SP),"0,681","0,647","0,846","0,578"
Tapiratiba (SP),"0,751","0,703","0,87","0,692"
Taquaral (SP),"0,759","0,742","0,823","0,716"
Taquaritinga (SP),"0,748","0,727","0,827","0,696"
Taquarituba (SP),"0,701","0,7","0,811","0,606"
Taquarivaí (SP),"0,679","0,617","0,811","0,626"
Tarabai (SP),"0,726","0,666","0,823","0,697"
Tarumã (SP),"0,753","0,738","0,852","0,68"
Tatuí (SP),"0,752","0,734","0,842","0,688"
Taubaté (SP),"0,8","0,778","0,883","0,746"
Tejupá (SP),"0,668","0,668","0,794","0,563"
Teodoro Sampaio (SP),"0,741","0,699","0,856","0,679"
Terra Roxa (SP),"0,749","0,732","0,838","0,684"
Tietê (SP),"0,778","0,764","0,884","0,698"
Timburi (SP),"0,71","0,688","0,826","0,629"
Torre de Pedra (SP),"0,714","0,679","0,829","0,647"
Torrinha (SP),"0,744","0,734","0,852","0,658"
Trabiju (SP),"0,722","0,666","0,811","0,697"
Tremembé (SP),"0,785","0,769","0,873","0,72"
Três Fronteiras (SP),"0,753","0,71","0,829","0,726"
Tuiuti (SP),"0,728","0,702","0,871","0,63"
Tupã (SP),"0,771","0,764","0,852","0,704"
Tupi Paulista (SP),"0,769","0,762","0,835","0,715"
Turiúba (SP),"0,751","0,713","0,824","0,721"
Turmalina (SP),"0,736","0,724","0,817","0,675"
Ubarana (SP),"0,7","0,672","0,844","0,604"
Ubatuba (SP),"0,751","0,741","0,841","0,679"
Ubirajara (SP),"0,727","0,689","0,829","0,674"
Uchoa (SP),"0,721","0,708","0,823","0,644"
União Paulista (SP),"0,749","0,697","0,863","0,699"
Urânia (SP),"0,746","0,727","0,804","0,709"
Urupês (SP),"0,745","0,741","0,817","0,683"
Uru (SP),"0,712","0,678","0,832","0,639"
Valentim Gentil (SP),"0,735","0,708","0,81","0,692"
Valinhos (SP),"0,819","0,848","0,85","0,763"
Valparaíso (SP),"0,725","0,719","0,825","0,643"
Vargem Grande do Sul (SP),"0,737","0,721","0,863","0,643"
Vargem Grande Paulista (SP),"0,77","0,755","0,884","0,683"
Vargem (SP),"0,699","0,69","0,839","0,591"
Várzea Paulista (SP),"0,759","0,72","0,863","0,705"
Vera Cruz (SP),"0,754","0,722","0,83","0,715"
Vinhedo (SP),"0,817","0,84","0,878","0,739"
Viradouro (SP),"0,739","0,717","0,823","0,683"
Vista Alegre do Alto (SP),"0,744","0,726","0,84","0,676"
Vitória Brasil (SP),"0,725","0,686","0,811","0,685"
Votorantim (SP),"0,767","0,72","0,838","0,747"
Votuporanga (SP),"0,79","0,772","0,857","0,744"
Zacarias (SP),"0,729","0,695","0,826","0,674"
 , ,,,
