Cod_ibge,Municipio,coord_centroide_x,coord_centroide_y
3511003,Castilho,-51.571,-20.898
3504800,Bálsamo,-49.552,-20.709
3517505,Guapiaçu,-49.190,-20.743
3531407,Monte Aprazível,-49.766,-20.737
3534302,Orlândia,-47.906,-20.697
3533601,Nuporanga,-47.729,-20.705
3523701,Itirapuã,-47.169,-20.657
3524204,Jaborandi,-48.416,-20.649
3551306,Sebastianópolis do Sul,-49.916,-20.629
3542701,Restinga,-47.506,-20.648
3533908,Olímpia,-48.960,-20.705
3521150,Ipiguá,-49.404,-20.651
3534005,Onda Verde,-49.244,-20.617
3552304,Sud Mennucci,-50.901,-20.667
3518909,Guzolândia,-50.714,-20.628
3536307,Patrocínio Paulista,-47.289,-20.704
3532603,Nhandeara,-50.047,-20.673
3515905,Floreal,-50.155,-20.669
3504206,Auriflama,-50.580,-20.644
3530409,Mirassolândia,-49.487,-20.594
3516903,General Salgado,-50.416,-20.638
3549508,São José da Bela Vista,-47.627,-20.587
3528304,Magda,-50.230,-20.596
3523008,Itapura,-51.449,-20.595
3549250,São João de Iracema,-50.356,-20.521
3537404,Pereira Barreto,-51.106,-20.678
3531902,Morro Agudo,-48.153,-20.688
3549409,São Joaquim da Barra,-47.938,-20.550
3516200,Franca,-47.381,-20.555
3500907,Altair,-49.094,-20.533
3529104,Marinópolis,-50.832,-20.480
3502606,Aparecida d'Oeste,-50.922,-20.478
3517703,Guará,-47.775,-20.482
3543105,Ribeirão Corrente,-47.573,-20.448
3540259,Pontalinda,-50.525,-20.451
3513850,Dirce Reis,-50.628,-20.448
3552551,Suzanápolis,-51.075,-20.473
3549201,São João das Duas Pontes,-50.384,-20.408
3535200,Palmeira d'Oeste,-50.749,-20.439
3553401,Tanabi,-49.647,-20.531
3557105,Votuporanga,-49.989,-20.457
3529609,Meridiano,-50.187,-20.398
3549003,São Francisco,-50.676,-20.365
3556107,Valentim Gentil,-50.102,-20.420
3533007,Nova Granada,-49.331,-20.476
3532843,Nova Canaã Paulista,-50.911,-20.372
3505500,Barretos,-48.652,-20.514
3521309,Ipuã,-48.067,-20.417
3520442,Ilha Solteira,-51.259,-20.432
3525409,Jeriquara,-47.574,-20.339
3513207,Cristais Paulista,-47.401,-20.371
3512902,Cosmorama,-49.775,-20.442
3519808,Icém,-49.185,-20.367
3501806,Américo de Campos,-49.768,-20.289
3547650,Santa Salete,-50.720,-20.258
3536257,Parisi,-50.037,-20.271
3501202,Álvares Florence,-49.920,-20.289
3535002,Palestina,-49.498,-20.321
3554904,Três Fronteiras,-50.870,-20.274
3547205,Santana da Ponte Pensa,-50.797,-20.261
3524105,Ituverava,-47.810,-20.329
3556958,Vitória Brasil,-50.486,-20.198
3512100,Colômbia,-48.722,-20.267
3517901,Guaraci,-49.003,-20.374
3524808,Jales,-50.554,-20.286
3546603,Santa Fé do Sul,-50.950,-20.242
3503950,Aspásia,-50.728,-20.183
3517406,Guaíra,-48.364,-20.314
3508207,Buritizal,-47.693,-20.209
3534203,Orindiúva,-49.356,-20.201
3515202,Estrela d'Oeste,-50.412,-20.265
3544509,Rubinéia,-51.016,-20.254
3515509,Fernandópolis,-50.283,-20.272
3536901,Pedranópolis,-50.107,-20.210
3540309,Pontes Gestal,-49.757,-20.175
3503000,Aramina,-47.821,-20.145
3555802,Urânia,-50.653,-20.208
3514205,Dolcinópolis,-50.528,-20.117
3529708,Miguelópolis,-48.106,-20.185
3518008,Guarani d'Oeste,-50.345,-20.067
3537008,Pedregulho,-47.439,-20.205
3546108,Santa Clara d'Oeste,-50.908,-20.067
3535903,Paranapuã,-50.594,-20.064
3528205,Macedônia,-50.181,-20.098
3555307,Turmalina,-50.457,-20.083
3520103,Igarapava,-47.683,-20.063
3547403,Santa Rita d'Oeste,-50.813,-20.096
3543600,Rifaina,-47.441,-20.061
3544202,Riolândia,-49.709,-20.023
3510708,Cardoso,-49.948,-20.067
3545704,Santa Albertina,-50.727,-20.014
3536604,Paulo de Faria,-49.463,-20.067
3530003,Mira Estrela,-50.124,-19.952
3520707,Indiaporã,-50.264,-19.948
3529658,Mesópolis,-50.616,-19.957
3534757,Ouroeste,-50.402,-19.922
3540408,Populina,-50.517,-19.907
