,cod_ibge,Municipio,Ano,IPDM,Consumo anual de energia elétrica residencial,Consumo anual de energia elétrica comercial,Rendimento do trabalho formal,Produto Interno Bruto per capita,Indicador Riqueza,Taxas de mortalidade infantil,Taxas de mortalidade perinatal,Taxas de mortalidade 15 a 39 anos,Taxas de mortalidade 60 a 69 anos,Indicador Longevidade,Taxa de atendimento escolar na faixa etária de 0 a 3 anos,Proporção média de alunos do 5º ano com proficiência em Língua Portuguesa e Matemática,Proporção média de alunos do 9º ano com proficiência em Língua Portuguesa e Matemática,Taxas de distorção idade-série no Ensino Médio,Indicador Escolaridade
0,3500105,Adamantina,2014,0.548,2.42000319030148,8.97541371158392,1375.20557875883,53854.1008777062,0.365,7.42115027829314,11.0599078341014,1.01381996691745,12.8799587841319,0.77,43.3949349760438,49.7960881877164,26.8813422072978,8.44444444444444,0.51
1,3500105,Adamantina,2016,0.554,2.29189109422268,8.80170863309353,1413.17180485794,61154.6211554047,0.365,12.8558310376492,14.5454545454545,1.06209150326797,12.9672006102212,0.71,48.259385665529,69.0608518285914,26.5746962752273,7.14285714285714,0.587
2,3500105,Adamantina,2018,0.56,2.64136378256674,9.59129654553612,1556.7047067448,53854.1008777062,0.382,10.8108108108108,19.538188277087,1.04475970526779,12.8276631344116,0.686,51.5280739161336,72.8936717202857,28.0649089078161,7.51104565537555,0.612
3,3500105,Adamantina,2020,0.594,2.72821184452513,8.8232599469496,1489.3330820433,52045.2978859156,0.378,3.38409475465313,12.5733445096396,1.06514183204395,12.9123551782082,0.779,53.6585365853659,72.9779184916042,29.2867246493019,6.62393162393162,0.625
4,3500105,Adamantina,2022,0.565,2.45297171976737,8.32410480349345,1584.05833271003,41516.1039185721,0.359,8.80281690140845,11.3735783027122,1.17704475640915,14.6835443037975,0.742,54.5593869731801,60.285,31.085,5.69,0.594
5,3500204,Adolfo,2014,0.566,2.12858052196053,28.4264150943396,1132.12337900215,44814.5104594853,0.386,7.32600732600733,3.6231884057971,1.82149362477231,13.6054421768707,0.782,40.1408450704225,54.5394736842075,31.5000000000061,11.3636363636364,0.531
6,3500204,Adolfo,2016,0.52,1.95975547631177,17.3582089552239,1094.01217713844,44545.0611250571,0.356,9.61538461538462,9.55414012738853,2.40384615384615,22.2222222222222,0.649,70.0729927007299,60.0899158659574,18.6788647900806,8.43373493975904,0.555
7,3500204,Adolfo,2018,0.584,2.8418945963976,27.9296296296296,1118.94560478047,44814.5104594853,0.412,12.012012012012,8.95522388059702,1.87869028448739,20.7792207792208,0.673,79.2592592592593,73.7713675226923,33.746246247027,15.0375939849624,0.667
8,3500204,Adolfo,2020,0.594,3.1385369928294,33.7954259259259,1158.68329500485,55673.958155982,0.442,9.11854103343465,12.0481927710843,1.36165577342048,17.2413793103448,0.712,78.9473684210526,62.6026993307778,33.3678811366667,15.1515151515151,0.627
9,3500204,Adolfo,2022,0.596,3.10007456420413,30.7573688365344,1001.63095117845,27916.915995397,0.401,6.13496932515337,6.11620795107034,1.39586823003908,21.1764705882353,0.751,83.3333333333333,60.27,35.41,15.18,0.635
10,3500303,Aguaí,2014,0.462,1.98050808314088,14.1502045587376,1024.47488867609,48590.6268434506,0.348,11.7279124315872,18.5471406491499,1.54772959973331,18.833191730388,0.63,23.1259968102073,48.5548734830282,24.0023794295057,20.3252032520325,0.408
11,3500303,Aguaí,2016,0.481,1.82108083966056,11.1256424900057,1001.06111166418,40130.7739519907,0.323,15.73564122738,12.5391849529781,1.27607248091692,17.4912543728136,0.673,24.4573848597141,54.6367617318733,26.9613635237065,19.63133640553,0.448
12,3500303,Aguaí,2018,0.502,2.11890513097224,12.4861503674392,1128.71550825429,48590.6268434506,0.353,14.5593869731801,13.7299771167048,1.11103395597528,18.8610808850199,0.672,32.8059071729958,65.4349744897416,24.5641910230741,21.958174904943,0.48
13,3500303,Aguaí,2020,0.519,2.24229675686161,13.3665523321957,951.748370603996,45435.2087946489,0.349,7.90513833992095,15.6617071260767,0.968121153447203,20.4012240734444,0.694,32.3328067403897,59.3351325428572,32.8922436189782,18.1372549019608,0.513
14,3500303,Aguaí,2022,0.489,2.09741897075779,13.4324164659557,1166.74223358284,43053.9394506283,0.352,10.3626943005181,18.7553282182438,1.15708599463112,20.2377128172181,0.649,34.0471092077088,47.1,29.375,16.73,0.465
15,3500402,Águas da Prata,2014,0.487,2.13166704022863,11.7219047619048,809.820478646085,36510.7243767027,0.322,10.5448154657294,15.7342657342657,1.19560019129603,12.7853881278539,0.708,15.0326797385621,46.507936507934,24.0306513410009,8.69565217391305,0.43
16,3500402,Águas da Prata,2016,0.525,1.96987819236425,7.87712665406427,769.365611130394,33223.5679934982,0.292,9.09090909090909,10.8695652173913,0.951022349025202,15.5527532576713,0.751,26.8211920529801,64.2018827812791,36.4318901821711,19.3333333333333,0.532
