,Municipio,Agropecuária,Indústria,Administração pública,Serviços (exceto administração pública),Valor adicionado,Impostos líquido de subsídios,PIB,PIB per capita,Ano
58,Bariri,39225.00977783833,237310.95951923943,110861.93589996506,430492.1855296001,817890.0907266429,96202.05322663377,914092.1439532767,28034.476597965917,2014
59,Barra Bonita,12539.109204900195,309403.9620108328,129923.65173696706,565154.3444128672,1017021.0673655672,116898.27597872114,1133919.3433442884,32309.076343295204,2014
60,Barra do Chapéu,38568.21415843487,3745.608315442846,17817.651776668106,17274.44612203157,77405.9203725774,1013.8400623234427,78419.76043490085,14652.421605923177,2014
61,Barra do Turvo,4637.263665899166,3425.71090149698,29195.31200528687,27979.235526561206,65237.52209924422,5244.742273127876,70482.2643723721,9184.553605990632,2014
62,Barretos,146028.70643776524,878808.4468245183,435003.5516774927,2007356.3194382119,3467197.024377988,292790.342932891,3759987.3673108793,32780.772332506946,2014
63,Barrinha,22813.41395051347,59751.13549615533,100205.57814425975,194586.49358098913,377356.62117191765,27093.760977363956,404450.3821492816,13458.799445917994,2014
64,Barueri,208.9374650156547,4312822.077490007,1583985.9871603353,27864264.816602953,33761281.818718314,11810200.091600323,45571481.910318635,181938.78843294448,2014
65,Bastos,347089.97118303867,63466.60309524261,71783.02978619696,200916.01618694444,683255.6202514227,33356.6434402504,716612.2636916732,35308.05398559683,2014
66,Batatais,127632.29174537717,272978.81955664593,198213.44970817407,744943.2474619258,1343767.808472123,125848.62358756257,1469616.4320596855,25312.029487765856,2014
67,Bauru,32309.52509931021,1688306.174639777,1217623.1512579,7649667.63823624,10587906.489233227,1072884.6765180123,11660791.16575124,33065.812852686315,2014
68,Bebedouro,59584.24586657166,460597.8736094522,277561.14444380975,1531596.438379904,2329339.702299738,299870.51754822815,2629210.219847966,35164.442748304326,2014
69,Bento de Abreu,24419.744982622695,33521.21386833917,16446.39860699217,27133.190045170264,101520.5475031243,7996.30399362189,109516.85149674618,39323.82459488193,2014
70,Bernardino de Campos,18511.589724546793,38599.262018182926,38481.673093755184,72287.4820965493,167880.0069330342,10960.73255572112,178840.73948875532,16603.912309790674,2014
71,Bertioga,3716.102056349859,303005.11540459713,308414.30935573694,842708.2209573258,1457843.7477740096,80537.56417304842,1538381.311947058,28533.456588093442,2014
72,Bilac,38860.937796035425,9725.173802097832,27699.33311517514,65370.38658364722,141655.8312969556,8071.809760939791,149727.6410578954,20285.549526879204,2014
73,Birigui,39845.6075852271,621499.0726419793,391805.565007498,1376185.5417920381,2429335.7870267425,271049.2247286568,2700385.0117553994,23670.76911804244,2014
74,Biritiba-Mirim,364183.6618420238,38381.53573107104,90873.42553968789,201125.07781377286,694563.7009265556,19459.08701071806,714022.7879372736,23751.67280744041,2014
75,Boa Esperança do Sul,76296.96346336276,13757.017334955093,53251.782676435585,97519.85016494377,240825.6136396972,10216.473404084441,251042.08704378165,17903.44366308527,2014
76,Bocaina,27180.7992477591,134335.91245308763,43727.783866634694,135135.52830333932,340380.02387082076,36599.9985842186,376980.0224550394,33106.17567884776,2014
77,Bofete,36959.64016957448,27113.835698105322,38187.10757014145,54198.40287838907,156458.98631621033,8325.533282113729,164784.51959832406,16131.622085004803,2014
78,Boituva,22759.658305484176,882127.5412842737,201492.76761160622,1001281.5000417901,2107661.4672431545,489790.89249547897,2597452.3597386335,49781.55815279977,2014
79,Bom Jesus dos Perdões,9941.034100988312,140623.12494233937,79370.86218409723,199015.71254060633,428950.73376803123,58477.18907740944,487427.9228454407,22561.929404065948,2014
80,Bom Sucesso de Itararé,5746.1296431119745,14803.688885076168,15438.63204193721,12544.201543439194,48532.652113564545,2781.1233230544162,51313.77543661896,13959.133687872405,2014
81,Borá,11554.160126399616,29771.13647524557,6955.026477459026,18798.74477297746,67079.06785208167,6509.180615170209,73588.24846725188,91074.56493471767,2014
82,Boracéia,14420.248372384465,60090.81804385844,19554.142081941107,47275.28019999751,141340.48869818152,10949.738598370122,152290.22729655163,34084.65248356124,2014
83,Borborema,78797.90950074195,27784.7084825028,58631.220416036784,147544.847978859,312758.6863781405,18993.042311678404,331751.72868981893,22290.648974656917,2014
84,Borebi,14964.32415235856,1833.1844253369777,14762.433245317075,14233.124024242563,45793.06584725517,2161.697068143273,47954.762915398445,19873.503073103377,2014
85,Botucatu,91143.52745578042,1226548.5830261107,395234.1336912535,1925082.037799771,3638008.281972916,398047.0859693099,4036055.3679422257,30282.301062733815,2014
86,Bragança Paulista,55654.451262020186,1208217.2314939622,526671.287416881,2306109.421502128,4096652.391674991,565640.4547470105,4662292.846422002,30224.973559165795,2014
87,Braúna,12196.313594506031,4028.9304570881445,20803.126104685107,26618.1775980654,63646.54775434468,2504.503593321233,66151.05134766591,12614.616961797467,2014
88,Brejo Alegre,7205.524198207735,96697.75361917775,15181.183641994543,59415.32578544886,178499.78724482888,22465.93431416339,200965.72155899229,75664.80480383745,2014
89,Brodowski,47121.16827431774,92214.60133984085,82848.31221141102,224266.44144645007,446450.5232720197,38327.682568663346,484778.205840683,21691.27056426162,2014
90,Brotas,62181.20488214263,104312.95498658503,89838.28631720085,291606.0135776907,547938.4597636192,56645.52212243721,604583.9818860565,26820.334570404422,2014
91,Buri,129843.96175354888,26633.16062287079,70466.73573186522,141747.0343500078,368690.89245829266,15491.33802028336,384182.23047857604,20265.98251192573,2014
92,Buritama,29919.679189549097,126924.05515255942,60326.28901592808,145579.57128913156,362749.5946471682,16635.172552955984,379384.76720012416,23829.20464795705,2014
93,Buritizal,36506.832896526685,27133.8696100067,21869.39308999692,160751.8438807304,246261.9394772607,37094.101408353905,283356.0408856146,68114.43290519582,2014
94,Cabrália Paulista,32291.00645697461,8508.104270929458,18474.238294663803,22920.639255734706,82193.98827830257,3779.580229101246,85973.56850740382,19850.743132626143,2014
95,Cabreúva,27006.23415365063,978046.1774687482,165992.61158273421,1878470.2941007086,3049515.3173058415,873942.5081934877,3923457.8254993293,87735.81308838143,2014
96,Caçapava,16223.483448065632,1511839.3397083373,298862.3523398721,1289479.471667878,3116404.647164153,535833.819854173,3652238.467018326,41692.695887148555,2014
97,Cachoeira Paulista,17010.84321554948,52633.556470544776,96989.63910150781,324884.6657226904,491518.7045102925,26633.694266707498,518152.398777,16720.526599019006,2014
98,Caconde,58019.682686119115,26106.875950857826,61933.483951117996,99591.1372544461,245651.17984254105,5687.743837393526,251338.92367993458,13473.005825780465,2014
99,Cafelândia,59337.65857745851,47046.79894968707,61604.62724801968,138747.32204317383,306736.4068183391,21560.953543677006,328297.3603620161,19459.270959754376,2014
100,Caiabu,13855.059219251722,2724.220985835359,16572.238266220673,14402.640464175274,47554.15893548303,963.7911738595375,48517.950109342564,11862.579488836813,2014
101,Caieiras,3209.276291372726,1212107.0703059714,317455.9660002419,1961226.3157531212,3493998.6283507072,485434.3811285754,3979433.0094792824,43188.04681338893,2014
102,Caiuá,28976.76537225663,3138.4787626488587,24710.1956257535,16881.990643655743,73707.43040431473,2806.9113071819047,76514.34171149663,14527.120127491291,2014
103,Cajamar,203.36617411742444,1914095.8431907187,318687.2452460644,6017051.0285237115,8250037.4831346115,2280909.5387387606,10530947.021873372,151417.6626820425,2014
104,Cajati,135215.22322528725,432351.224283326,106129.59365712544,308653.9310944998,982349.9722602385,112565.53471350372,1094915.5069737423,38446.41690276141,2014
105,Cajobi,18284.18256518278,6397.349795111948,36214.01235853041,51292.26580372956,112187.8105225547,4577.5374373460145,116765.34795990071,11771.887081348998,2014
106,Cajuru,86930.38744790076,84483.59039780231,81795.57081307878,194000.95877322508,447210.50743200694,46285.61190257712,493496.11933458404,20312.66183719218,2014
107,Campina do Monte Alegre,13215.677431552225,6755.025073507584,22322.455907526597,40103.05198222025,82396.21039480667,3810.048358246978,86206.25875305364,15217.344881386343,2014
108,Campinas,109868.47483121643,9461616.082416087,4023728.647683315,31844077.00781279,45439290.21274341,9199721.507294865,54639011.72003827,48644.068120766846,2014
109,Campo Limpo Paulista,8000.3221242750415,440990.7000514665,256080.99211876374,707883.7160886246,1412955.7303831298,176440.36787790494,1589396.0982610348,20463.712655770447,2014
110,Campos do Jordão,4611.713247816796,114953.73194582433,207032.0413977933,670731.2210982946,997328.707689729,54234.560987731136,1051563.2686774603,21572.29862301441,2014
111,Campos Novos Paulista,44751.51130090348,4380.774988307912,21060.708284364693,42927.68031832675,113120.67489190283,5362.351159782704,118483.02605168553,25491.184606644907,2014
112,Cananéia,26175.31594474272,195574.7741830415,48919.100281047446,134460.4546097723,405129.645018604,7911.439205264648,413041.0842238687,33814.251676125146,2014
113,Canas,3560.2595103218096,47601.7246149773,19532.62711833381,65009.143976544656,135703.75522017758,14164.572290434562,149868.32751061214,32160.585302706466,2014
114,Cândido Mota,79470.9477684297,128816.84534262966,108035.11963902602,409548.9276456677,725871.840395753,78141.90268140052,804013.7430771536,26846.992890248217,2014
115,Cândido Rodrigues,22311.3330736413,6893.637127391361,13914.021550368616,25374.143718207935,68493.13546960922,3999.482668600072,72492.61813820929,27110.178810100704,2014
116,Canitar,8838.315457784387,44037.60766786156,19642.098996322435,30676.877670983115,103194.8997929515,9918.37950287904,113113.27929583054,24536.503101047838,2014
117,Capão Bonito,121083.27937893895,59534.18177213362,153921.1565375913,357497.59685004,692036.2145387039,39793.29803466183,731829.5125733657,15860.033213561444,2014
118,Capela do Alto,45593.42630810358,19533.67502521759,70173.29665457542,108919.18320069573,244219.5811885923,14989.13689257947,259208.71808117177,13864.394420259508,2014
119,Capivari,47771.7930029901,518096.561617846,190240.6380232971,653823.3429439012,1409932.3355880342,217539.09371199142,1627471.4293000256,32007.226174602743,2014
120,Caraguatatuba,7648.1236541049,584840.8212171561,453548.57887355244,1580750.078966332,2626787.6027111453,163672.66643517892,2790460.269146324,26013.18407720935,2014
121,Carapicuíba,149.24104643975335,749321.0079413075,1030005.2902950422,2594258.400820255,4373733.940103044,415790.4104508616,4789524.350553906,12590.294654123943,2014
122,Cardoso,35793.59245973776,10574.872938092929,45969.71866231509,80593.53080678046,172931.71486692625,5799.839986475962,178731.55485340222,15178.900624492759,2014
123,Casa Branca,89268.83409705649,52284.55887822304,101716.2137051003,301666.95763824845,544936.5643186283,42738.73141337915,587675.2957320075,20420.28200187663,2014
124,Cássia dos Coqueiros,61357.3460602473,4418.790285064077,13048.141386510262,16740.905523812573,95565.18325563421,628.1068314004682,96193.29008703468,37443.865351122884,2014
125,Castilho,51717.567292759864,76445.29576232076,95731.94847955811,245656.93959921587,469551.7511338546,46905.66957340788,516457.42070726247,27017.023472863697,2014
126,Catanduva,41276.478713667326,655636.1060643769,422680.2186480198,2058741.6319169058,3178334.43534297,334539.15193905664,3512873.5872820267,30605.809364878518,2014
127,Catiguá,18880.044732265967,5972.249630280778,26093.129659359336,50203.7024824678,101149.12650437388,6253.30244228645,107402.42894666034,14710.646342509292,2014
128,Cedral,26140.642931310733,59357.66404319568,32167.112312810837,107250.68728401267,224916.10657132993,28734.12019293835,253650.22676426827,30424.640369949415,2014
129,Cerqueira César,62937.14996151614,145284.9302848687,68663.02606221249,186745.3977941564,463630.5041027537,40886.12796646556,504516.63206921925,27702.42873211175,2014
130,Cerquilho,48846.7559512599,578642.1362729636,152010.50044596678,590384.1644258252,1369883.5570960157,207816.323077685,1577699.8801737006,37070.01598152492,2014
131,Cesário Lange,24676.5545026292,48178.35640513611,55719.63323389172,149824.03611005726,278398.5802517143,34019.43886299002,312418.0191147043,19153.823745613652,2014
132,Charqueada,19030.6885984013,52900.974071912075,55221.36465097903,105436.23158735741,232589.25890864982,22833.64485192838,255422.9037605782,16122.129884528067,2014
133,Chavantes,28782.8656502314,20265.116110196483,45641.04245302986,79477.01148068791,174166.03569414566,10674.00791763422,184840.04361177987,15204.412569859329,2014
134,Clementina,11914.491198500667,57263.53046758018,27717.181949634218,72659.58348680913,169554.7871025242,17064.613334453043,186619.40043697724,24558.415638502072,2014
135,Colina,59425.129431251036,413729.1029296091,73427.03528020391,325854.5245110794,872435.7921521434,111419.90909101766,983855.7012431611,56268.5559761602,2014
136,Colômbia,68969.06165616441,66257.52717830877,33505.642718111936,61661.51027350921,230393.7418260943,17584.360768143088,247978.1025942374,41199.21957039997,2014
137,Conchal,16108.500573335774,151255.68547768611,96653.48156634899,229183.39169993153,493201.0593173024,50071.90136370049,543272.9606810029,20839.808227434998,2014
138,Conchas,40804.95861723696,43935.795644912025,57178.28852477797,129865.5959720221,271784.63875894906,19648.01675864868,291432.65551759774,17526.62109198928,2014
139,Cordeirópolis,43303.37916720709,679211.0337780823,113763.4511409417,1107896.8350725612,1944174.6991587922,327708.12846315827,2271882.8276219503,101165.90941007037,2014
140,Coroados,35120.56656068273,25264.291435006002,21198.77559321482,35242.05548334393,116825.68907224748,5172.579070771891,121998.26814301936,22021.3480402562,2014
141,Coronel Macedo,23212.424577969814,4539.680635621313,19616.616079147538,14362.50553614127,61731.22682887994,-192.7265916631809,61538.50023721676,12515.456627459174,2014
142,Corumbataí,18884.07215275576,6963.680803694085,20541.59147688256,83950.17557858997,130339.52001192237,21858.547982283682,152198.06799420607,38925.337082917154,2014
143,Cosmópolis,16981.19543362178,299143.86194134434,222785.91131501264,640372.9451762139,1179283.9138661926,134070.68791001226,1313354.6017762048,20539.779828222523,2014
144,Cosmorama,34725.428617561876,76457.30866546257,29663.5973610094,71575.64449453822,212421.97913857206,28534.02499193708,240956.00413050913,33827.882090482824,2014
145,Cotia,20898.08204334986,2594984.5472707963,827677.0542270483,5006646.616672863,8450206.300214058,2081660.0047022623,10531866.30491632,47896.50324217929,2014
146,Cravinhos,55113.73067221787,254837.31718209336,118400.79452662003,412991.5868826856,841343.4292636169,131491.37296675856,972834.8022303755,29643.32994790589,2014
147,Cristais Paulista,39880.075041742646,8103.859597888082,31276.80841337257,51485.47682114898,130746.21987415227,3589.182813118932,134335.4026872712,16920.947561062,2014
148,Cruzália,12855.980136208893,4444.54421000232,11816.844175106213,36538.674513512735,65656.04303483016,4838.607500205058,70494.65053503522,31984.868663809084,2014
149,Cruzeiro,7907.77727122966,702497.8437455196,263638.9436916962,908588.8787453119,1882633.4434537576,248614.70731936197,2131248.1507731196,27231.5259988388,2014
150,Cubatão,596.9641857590134,1377468.8258288966,743875.9289030766,4903169.719477839,7025111.438395571,2427661.717039335,9452773.155434906,76889.32125780793,2014
151,Cunha,22857.448221778966,7687.37427308236,68227.44205684052,76468.55487957379,175240.81943127562,5195.571866401714,180436.39129767733,8302.415280802343,2014
152,Descalvado,74859.00681969996,328558.86434386583,123528.77088480731,448263.0877016159,975209.729749989,163753.851532752,1138963.581282741,35994.17189529251,2014
153,Diadema,507.41955789516146,4026316.378664188,1446022.0064642946,6092252.9391063005,11565098.743792677,2483240.045347684,14048338.789140362,35643.83108443731,2014
154,Dirce Reis,6405.408160662787,12698.440612387913,10369.618306199802,10971.528756637817,40444.995835888316,4026.428795609839,44471.42463149816,26098.25389172427,2014
155,Divinolândia,43212.943806219955,11821.47277277846,37491.14744536452,150617.61481171125,243143.17883607416,9337.6799639502,252480.85880002438,22830.351641199417,2014
156,Dobrada,15068.436236410895,4214.489010149333,28193.01437517278,27159.67334525972,74635.61296699272,3265.9576597967944,77901.57062678951,9356.422126686226,2014
157,Dois Córregos,79632.09098504778,117715.1675321399,87424.8206268108,242784.54474590716,527556.6238899056,49243.228506524196,576799.8523964299,22495.216738677504,2014
158,Dolcinópolis,6837.655813638198,2509.301660702425,11458.226185814176,10094.125966561194,30899.309626715993,828.4841700206539,31727.793796736645,15290.503034571877,2014
159,Dourado,21708.352934900722,75021.23436267629,30372.190046580865,366433.7435043851,493535.520848543,120760.79306772791,614296.3139162709,71813.92493760472,2014
160,Dracena,35269.7091524218,104852.9905484755,143942.86487435765,661958.977830434,946024.5424056889,78264.69584219504,1024289.238247884,23256.572854889175,2014
161,Duartina,19542.047641718098,25187.098731902275,44043.57899322949,100968.24005217833,189740.9654190282,8863.526611224475,198604.49203025267,16355.471632236899,2014
162,Dumont,21289.979572362805,37013.521190534186,30334.49903855076,67717.81568367987,156355.81548512762,14068.023700230351,170423.83918535797,19397.204551030958,2014
163,Echaporã,37678.00800187414,5415.170393929911,23840.719501245265,36105.7868700499,103039.68476709921,3774.016302732528,106813.70106983175,17024.81687437548,2014
164,Eldorado,71522.66362817505,8973.735264156197,52396.762479953584,56761.66477578737,189654.8261480722,4986.0779035300575,194640.90405160227,13160.304533576895,2014
165,Elias Fausto,76836.06950336036,154485.3039547905,62275.20755782659,171243.55226286952,464840.133278847,63336.58906543511,528176.7223442821,32131.44679062429,2014
166,Elisiário,12975.386294900178,3381.945150811353,15041.792374810579,16320.383200687585,47719.50702120969,2045.0618404090146,49764.5688616187,15162.878995008747,2014
167,Embaúba,14488.89112780626,5803.453126175334,12947.747078612112,12526.495684673453,45766.58701726716,1076.7673954172994,46843.35441268446,19429.014687965348,2014
168,Embu das Artes,179.08925572770406,1402300.8046217347,753325.7576093518,4873720.597602139,7029526.249088953,1679528.287224079,8709054.536313033,34460.05221527024,2014
169,Embu-Guaçu,1625.737745180797,215209.77100783432,207290.25192532426,399647.2442295156,823773.004907855,123224.32560632021,946997.3305141751,14595.68648491377,2014
170,Emilianópolis,13963.830360131491,2972.330888336701,15423.040855002959,13660.872008985103,46020.07411245625,1055.4148936955417,47075.48900615179,15449.783067329106,2014
171,Engenheiro Coelho,17385.531624881514,72832.63655592485,62877.36490298895,185519.79054734448,338615.3236311398,40225.30995610426,378840.6335872441,21316.713571193115,2014
172,Espírito Santo do Pinhal,91040.08667066097,289642.2450359221,134804.07345573723,602637.2999656299,1118123.7051279503,116088.57554795078,1234212.280675901,29237.037017953786,2014
173,Espírito Santo do Turvo,19441.895061563464,23856.113976656772,19114.792546598153,27157.803438955758,89570.60502377414,6447.744071636619,96018.34909541077,21519.127990903355,2014
174,Estiva Gerbi,39073.96069001286,78257.63347239747,41327.48283275286,73386.44312896661,232045.5201241298,19234.76101540028,251280.2811395301,24002.319337045574,2014
175,Estrela do Norte,14674.606688034657,2635.5813062799125,14497.491851427792,18326.431029206415,50134.110874948776,2126.5709071898787,52260.68178213866,19683.872610975013,2014
176,Estrela d'Oeste,24547.898325050908,210760.32364585393,26350.108102542683,148414.23384511622,410072.56391856377,50658.578445725725,460731.1423642895,56406.84896722447,2014
177,Euclides da Cunha Paulista,26853.85098784159,5718.507019354389,33457.687643310244,34689.973725098476,100720.0193756047,3327.729290057799,104047.7486656625,10932.830583761952,2014
178,Fartura,46989.77731583258,45908.99796095489,53007.15861947178,166590.67391272454,312496.60780898377,20174.906262862452,332671.5140718462,21557.252078268935,2014
179,Fernando Prestes,41594.48720834935,11944.500980397643,22792.696143790752,45933.46626661324,122265.15059915098,7071.019263663877,129336.16986281486,23278.648283444,2014
180,Fernandópolis,54715.892583836016,238462.5876829357,219159.02993259564,1016566.4509595371,1528903.9611589045,127934.70856864312,1656838.6697275476,25343.6125388535,2014
