Região Geográfica Intermediária,Nome Região Geográfica Intermediária,Região Geográfica Imediata,Nome Região Geográfica Imediata,municipios,cod_ibge,reg_administrativa,reg_metropolitanas,Furto veiculo 2016,Furto outros 2016,Homicidio culposo outros 2016,Homicidio culposo por acidente 2016,Latrocinio 2016,Lesao culposa outros 2016,Lesao culposa acidente 2016,Lesao dolosa 2016,Vitimas homicidio 2016,Tentativa homicidio 2016,Total estupro 2016,Total roubos 2016
3510,Campinas,350038,Campinas,Campinas,3509502,RA de Campinas,RM de Campinas,4027,17440,4,111,6,186,2905,3955,119,91,276,9451
3510,Campinas,350038,Campinas,Holambra,3519055,RA de Campinas,RM de Campinas,9,83,0,0,0,1,41,47,0,3,2,14
3510,Campinas,350038,Campinas,Indaiatuba,3520509,RA de Campinas,RM de Campinas,222,1743,0,14,0,53,332,703,5,11,58,627
3510,Campinas,350038,Campinas,Jaguariúna,3524709,RA de Campinas,RM de Campinas,123,593,0,7,0,0,295,162,2,3,8,114
3510,Campinas,350038,Campinas,Paulínia,3536505,RA de Campinas,RM de Campinas,217,1315,0,10,0,4,322,417,10,8,22,378
3510,Campinas,350038,Campinas,Pedreira,3537107,RA de Campinas,RM de Campinas,140,338,1,4,0,20,169,296,2,3,7,103
3510,Campinas,350038,Campinas,Santo Antônio de Posse,3548005,RA de Campinas,RM de Campinas,33,164,0,1,0,1,53,83,2,4,7,26
3510,Campinas,350038,Campinas,Valinhos,3556206,RA de Campinas,RM de Campinas,192,870,0,12,0,1,405,440,1,5,28,211
3510,Campinas,350038,Campinas,Vinhedo,3556701,RA de Campinas,RM de Campinas,68,698,0,5,1,1,245,245,1,2,14,144
3510,Campinas,350039,Jundiaí,Cabreúva,3508405,RA de Campinas,RM de Jundiai,17,320,1,5,0,7,46,164,3,5,17,104
3510,Campinas,350039,Jundiaí,Campo Limpo Paulista,3509601,RA de Campinas,RM de Jundiai,212,645,1,11,1,5,283,361,3,4,20,391
3510,Campinas,350039,Jundiaí,Itatiba,3523404,RA de Campinas,RM de Campinas,236,1345,1,13,4,3,341,282,4,8,31,447
3510,Campinas,350039,Jundiaí,Itupeva,3524006,RA de Campinas,RM de Jundiai,66,657,0,4,1,8,118,150,3,8,24,208
3510,Campinas,350039,Jundiaí,Jarinu,3525201,RA de Campinas,RM de Jundiai,47,287,1,2,0,3,40,92,3,2,8,96
3510,Campinas,350039,Jundiaí,Jundiaí,3525904,RA de Campinas,RM de Jundiai,829,5015,5,60,3,49,953,1000,23,36,69,2377
3510,Campinas,350039,Jundiaí,Louveira,3527306,RA de Campinas,RM de Jundiai,37,337,0,6,0,12,122,148,1,6,11,115
3510,Campinas,350039,Jundiaí,Morungaba,3532009,RA de Campinas,RM de Campinas,8,107,0,4,0,1,19,33,0,1,2,14
3510,Campinas,350039,Jundiaí,Várzea Paulista,3556503,RA de Campinas,RM de Jundiai,304,816,1,3,0,14,326,405,13,15,22,537
3510,Campinas,350041,Bragança Paulista,Atibaia,3504107,RA de Campinas,Demais municípios,302,1805,0,21,0,0,653,643,12,13,57,625
3510,Campinas,350041,Bragança Paulista,Bom Jesus dos Perdões,3507100,RA de Campinas,Demais municípios,20,221,0,4,0,2,48,84,1,3,5,44
3510,Campinas,350041,Bragança Paulista,Bragança Paulista,3507605,RA de Campinas,Demais municípios,188,2099,0,15,3,16,555,749,7,13,36,392
