Região Geográfica Intermediária,Nome Região Geográfica Intermediária,Região Geográfica Imediata,Nome Região Geográfica Imediata,municipios,cod_ibge,reg_administrativa,reg_metropolitanas,Furto veiculo 2016,Furto outros 2016,Homicidio culposo outros 2016,Homicidio culposo por acidente 2016,Latrocinio 2016,Lesao culposa outros 2016,Lesao culposa acidente 2016,Lesao dolosa 2016,Vitimas homicidio 2016,Tentativa homicidio 2016,Total estupro 2016,Total roubos 2016
3510,Campinas,350041,Bragança Paulista,Joanópolis,3525508,RA de Campinas,Demais municípios,8,106,0,2,1,0,13,62,1,2,2,9
3510,Campinas,350041,Bragança Paulista,Nazaré Paulista,3532405,RA de Campinas,Demais municípios,16,202,0,2,0,0,30,70,3,1,13,39
3510,Campinas,350041,Bragança Paulista,Pedra Bela,3536802,RA de Campinas,Demais municípios,2,54,0,2,0,0,5,21,1,0,2,3
3510,Campinas,350041,Bragança Paulista,Pinhalzinho,3538204,RA de Campinas,Demais municípios,8,93,0,4,0,1,17,41,1,2,3,11
3510,Campinas,350041,Bragança Paulista,Piracaia,3538600,RA de Campinas,Demais municípios,20,255,0,6,0,0,39,93,0,2,8,36
3510,Campinas,350041,Bragança Paulista,Socorro,3552106,RA de Campinas,Demais municípios,38,316,1,2,0,0,111,123,2,2,7,24
3510,Campinas,350041,Bragança Paulista,Tuiuti,3554953,RA de Campinas,Demais municípios,1,67,0,2,0,0,8,33,0,3,1,2
3510,Campinas,350041,Bragança Paulista,Vargem,3556354,RA de Campinas,Demais municípios,4,94,0,1,0,0,6,39,0,4,5,18
3510,Campinas,350043,Mogi Guaçu,Estiva Gerbi,3557303,RA de Campinas,Demais municípios,18,113,0,1,0,0,23,65,0,2,6,13
3510,Campinas,350043,Mogi Guaçu,Itapira,3522604,RA de Campinas,Demais municípios,113,505,1,13,0,3,280,324,5,3,22,202
3510,Campinas,350043,Mogi Guaçu,Mogi Guaçu,3530706,RA de Campinas,Demais municípios,473,1738,1,26,1,6,735,524,6,10,47,671
3510,Campinas,350043,Mogi Guaçu,Mogi Mirim,3530805,RA de Campinas,Demais municípios,271,1126,1,9,2,3,488,377,4,8,12,360
3510,Campinas,350048,Amparo,Amparo,3501905,RA de Campinas,Demais municípios,46,648,2,17,0,0,352,259,2,3,16,64
3510,Campinas,350048,Amparo,Lindóia,3527009,RA de Campinas,Demais municípios,4,70,0,3,0,2,16,28,0,0,3,6
3510,Campinas,350048,Amparo,Monte Alegre do Sul,3531209,RA de Campinas,Demais municípios,4,42,0,0,0,0,6,29,1,0,1,4
3510,Campinas,350048,Amparo,Serra Negra,3551603,RA de Campinas,Demais municípios,42,272,0,5,0,0,92,139,2,2,12,26
3510,Campinas,350048,Amparo,Águas de Lindóia,3500501,RA de Campinas,Demais municípios,35,112,0,2,0,0,24,90,1,3,5,20
