Região Geográfica Intermediária,Nome Região Geográfica Intermediária,Região Geográfica Imediata,Nome Região Geográfica Imediata,municipios,cod_ibge,reg_administrativa,reg_metropolitanas,Furto veiculo 2018,Furto outros 2018,Homicidio culposo outros 2018,Homicidio culposo por acidente 2018,Latrocinio 2018,Lesao culposa outros 2018,Lesao culposa acidente 2018,Lesao dolosa 2018,Vitimas homicidio 2018,Tentativa homicidio 2018,Total estupro 2018,Total roubos 2018
3510,Campinas,350038,Campinas,Campinas,3509502,RA de Campinas,RM de Campinas,3849,16282,5,77,5,22,2264,3314,143,69,269,7034
3510,Campinas,350038,Campinas,Holambra,3519055,RA de Campinas,RM de Campinas,7,101,0,0,0,1,38,37,0,0,2,7
3510,Campinas,350038,Campinas,Indaiatuba,3520509,RA de Campinas,RM de Campinas,123,1759,0,19,0,5,422,708,7,5,83,403
3510,Campinas,350038,Campinas,Jaguariúna,3524709,RA de Campinas,RM de Campinas,97,755,0,7,0,5,220,212,3,4,14,116
3510,Campinas,350038,Campinas,Paulínia,3536505,RA de Campinas,RM de Campinas,168,962,0,4,2,8,293,416,3,13,29,335
3510,Campinas,350038,Campinas,Pedreira,3537107,RA de Campinas,RM de Campinas,104,268,0,2,1,1,93,152,0,4,10,74
3510,Campinas,350038,Campinas,Santo Antônio de Posse,3548005,RA de Campinas,RM de Campinas,30,183,0,3,0,1,23,87,1,3,8,27
3510,Campinas,350038,Campinas,Valinhos,3556206,RA de Campinas,RM de Campinas,277,815,0,7,0,6,404,383,5,4,23,165
3510,Campinas,350038,Campinas,Vinhedo,3556701,RA de Campinas,RM de Campinas,59,666,0,7,0,0,213,238,0,4,13,120
3510,Campinas,350039,Jundiaí,Cabreúva,3508405,RA de Campinas,RM de Jundiai,30,246,0,7,0,3,62,160,2,8,12,52
3510,Campinas,350039,Jundiaí,Campo Limpo Paulista,3509601,RA de Campinas,RM de Jundiai,170,775,1,8,3,11,182,315,5,1,17,370
3510,Campinas,350039,Jundiaí,Itatiba,3523404,RA de Campinas,RM de Campinas,135,967,0,13,1,5,354,269,8,4,23,441
3510,Campinas,350039,Jundiaí,Itupeva,3524006,RA de Campinas,RM de Jundiai,45,513,0,8,0,4,144,199,2,7,21,132
3510,Campinas,350039,Jundiaí,Jarinu,3525201,RA de Campinas,RM de Jundiai,29,251,0,6,0,4,26,88,4,5,16,63
3510,Campinas,350039,Jundiaí,Jundiaí,3525904,RA de Campinas,RM de Jundiai,651,4694,1,42,1,44,695,946,12,21,96,1219
3510,Campinas,350039,Jundiaí,Louveira,3527306,RA de Campinas,RM de Jundiai,45,285,0,2,0,14,110,139,1,4,3,92
3510,Campinas,350039,Jundiaí,Morungaba,3532009,RA de Campinas,RM de Campinas,7,103,0,0,0,2,16,41,1,1,1,25
3510,Campinas,350039,Jundiaí,Várzea Paulista,3556503,RA de Campinas,RM de Jundiai,235,726,1,8,1,7,145,346,5,7,39,347
3510,Campinas,350041,Bragança Paulista,Atibaia,3504107,RA de Campinas,Demais municípios,246,1620,0,20,1,1,237,516,12,15,54,401
3510,Campinas,350041,Bragança Paulista,Bom Jesus dos Perdões,3507100,RA de Campinas,Demais municípios,28,172,0,3,0,0,24,79,0,5,9,45
3510,Campinas,350041,Bragança Paulista,Bragança Paulista,3507605,RA de Campinas,Demais municípios,223,1738,0,30,2,9,337,610,7,12,23,277
3510,Campinas,350041,Bragança Paulista,Joanópolis,3525508,RA de Campinas,Demais municípios,6,148,0,0,0,0,13,69,2,1,1,10
3510,Campinas,350041,Bragança Paulista,Nazaré Paulista,3532405,RA de Campinas,Demais municípios,12,216,0,3,0,0,7,76,1,3,12,35
3510,Campinas,350041,Bragança Paulista,Pedra Bela,3536802,RA de Campinas,Demais municípios,2,61,0,1,0,1,3,11,0,2,2,1
3510,Campinas,350041,Bragança Paulista,Pinhalzinho,3538204,RA de Campinas,Demais municípios,7,97,0,4,0,0,12,40,0,1,0,5
3510,Campinas,350041,Bragança Paulista,Piracaia,3538600,RA de Campinas,Demais municípios,24,286,0,4,1,0,20,93,3,0,12,27
3510,Campinas,350041,Bragança Paulista,Socorro,3552106,RA de Campinas,Demais municípios,34,259,0,7,0,0,63,98,1,4,15,31
3510,Campinas,350041,Bragança Paulista,Tuiuti,3554953,RA de Campinas,Demais municípios,2,60,0,2,0,0,6,15,0,0,0,7
3510,Campinas,350041,Bragança Paulista,Vargem,3556354,RA de Campinas,Demais municípios,4,98,0,1,0,2,3,27,2,1,6,13
3510,Campinas,350043,Mogi Guaçu,Estiva Gerbi,3557303,RA de Campinas,Demais municípios,11,85,0,0,0,0,16,50,0,3,4,14
3510,Campinas,350043,Mogi Guaçu,Itapira,3522604,RA de Campinas,Demais municípios,181,732,0,8,0,0,161,305,5,3,20,79
3510,Campinas,350043,Mogi Guaçu,Mogi Guaçu,3530706,RA de Campinas,Demais municípios,537,1541,0,17,2,6,540,505,12,16,32,587
3510,Campinas,350043,Mogi Guaçu,Mogi Mirim,3530805,RA de Campinas,Demais municípios,305,913,0,13,0,4,367,309,5,8,18,317
3510,Campinas,350048,Amparo,Amparo,3501905,RA de Campinas,Demais municípios,47,539,0,7,1,3,223,203,3,3,25,81
3510,Campinas,350048,Amparo,Lindóia,3527009,RA de Campinas,Demais municípios,8,40,0,2,0,0,8,29,1,0,0,4
3510,Campinas,350048,Amparo,Monte Alegre do Sul,3531209,RA de Campinas,Demais municípios,0,51,0,1,0,0,3,17,0,0,4,5
3510,Campinas,350048,Amparo,Serra Negra,3551603,RA de Campinas,Demais municípios,25,227,0,2,0,0,62,141,0,1,6,17
3510,Campinas,350048,Amparo,Águas de Lindóia,3500501,RA de Campinas,Demais municípios,21,157,0,4,0,0,15,78,1,1,9,14
