Região Geográfica Intermediária,Nome Região Geográfica Intermediária,Região Geográfica Imediata,Nome Região Geográfica Imediata,municipios,cod_ibge,reg_administrativa,reg_metropolitanas,Furto veiculo 2014,Furto outros 2014,Homicidio culposo outros 2014,Homicidio culposo por acidente 2014,Latrocinio 2014,Lesao culposa outros 2014,Lesao culposa acidente 2014,Lesao dolosa 2014,Vitimas homicidio 2014,Tentativa homicidio 2014,Total estupro 2014,Total roubos 2014
3510,Campinas,350038,Campinas,Campinas,3509502,RA de Campinas,RM de Campinas,4282,19326,5,151,8,79,4073,4116,157,129,251,8949
3510,Campinas,350038,Campinas,Holambra,3519055,RA de Campinas,RM de Campinas,8,120,0,2,1,0,40,48,2,0,1,15
3510,Campinas,350038,Campinas,Indaiatuba,3520509,RA de Campinas,RM de Campinas,317,1602,0,30,0,171,702,605,9,24,40,644
3510,Campinas,350038,Campinas,Jaguariúna,3524709,RA de Campinas,RM de Campinas,160,591,0,10,1,0,314,206,2,3,8,136
3510,Campinas,350038,Campinas,Paulínia,3536505,RA de Campinas,RM de Campinas,287,1221,0,16,0,12,320,436,12,9,34,393
3510,Campinas,350038,Campinas,Pedreira,3537107,RA de Campinas,RM de Campinas,110,316,0,1,0,0,271,232,2,2,6,66
3510,Campinas,350038,Campinas,Santo Antônio de Posse,3548005,RA de Campinas,RM de Campinas,45,155,0,3,0,0,57,66,2,5,8,30
3510,Campinas,350038,Campinas,Valinhos,3556206,RA de Campinas,RM de Campinas,338,980,2,8,0,6,568,361,6,4,32,237
3510,Campinas,350038,Campinas,Vinhedo,3556701,RA de Campinas,RM de Campinas,94,783,0,4,0,0,376,292,3,2,22,149
3510,Campinas,350039,Jundiaí,Cabreúva,3508405,RA de Campinas,RM de Jundiai,38,285,0,10,0,3,82,193,7,7,12,119
3510,Campinas,350039,Jundiaí,Campo Limpo Paulista,3509601,RA de Campinas,RM de Jundiai,151,522,1,4,1,22,234,316,6,3,20,368
3510,Campinas,350039,Jundiaí,Itatiba,3523404,RA de Campinas,RM de Campinas,300,1163,1,14,2,14,252,353,9,17,40,370
3510,Campinas,350039,Jundiaí,Itupeva,3524006,RA de Campinas,RM de Jundiai,77,552,1,9,0,10,114,192,6,6,20,197
3510,Campinas,350039,Jundiaí,Jarinu,3525201,RA de Campinas,RM de Jundiai,36,263,0,5,0,6,44,88,8,5,10,70
3510,Campinas,350039,Jundiaí,Jundiaí,3525904,RA de Campinas,RM de Jundiai,1400,5205,2,62,2,74,1036,1199,36,48,80,2272
3510,Campinas,350039,Jundiaí,Louveira,3527306,RA de Campinas,RM de Jundiai,71,373,0,11,0,27,136,103,2,5,13,108
3510,Campinas,350039,Jundiaí,Morungaba,3532009,RA de Campinas,RM de Campinas,15,64,0,0,0,0,24,53,3,3,2,23
3510,Campinas,350039,Jundiaí,Várzea Paulista,3556503,RA de Campinas,RM de Jundiai,268,750,2,9,0,37,320,398,9,5,25,454
3510,Campinas,350041,Bragança Paulista,Atibaia,3504107,RA de Campinas,Demais municípios,341,1732,0,25,1,0,579,655,23,15,67,633
3510,Campinas,350041,Bragança Paulista,Bom Jesus dos Perdões,3507100,RA de Campinas,Demais municípios,19,153,0,4,0,1,64,66,1,4,5,40
3510,Campinas,350041,Bragança Paulista,Bragança Paulista,3507605,RA de Campinas,Demais municípios,305,1906,0,18,2,11,699,873,10,20,49,496
3510,Campinas,350041,Bragança Paulista,Joanópolis,3525508,RA de Campinas,Demais municípios,15,81,0,0,0,0,21,61,2,4,4,3
3510,Campinas,350041,Bragança Paulista,Nazaré Paulista,3532405,RA de Campinas,Demais municípios,13,139,0,9,0,0,41,75,5,4,8,22
3510,Campinas,350041,Bragança Paulista,Pedra Bela,3536802,RA de Campinas,Demais municípios,3,30,0,1,0,1,13,28,0,0,2,4
3510,Campinas,350041,Bragança Paulista,Pinhalzinho,3538204,RA de Campinas,Demais municípios,14,108,0,4,0,0,23,32,1,2,3,6
3510,Campinas,350041,Bragança Paulista,Piracaia,3538600,RA de Campinas,Demais municípios,12,248,0,6,0,0,68,142,1,3,9,56
3510,Campinas,350041,Bragança Paulista,Socorro,3552106,RA de Campinas,Demais municípios,46,215,0,9,0,0,141,161,1,3,9,31
3510,Campinas,350041,Bragança Paulista,Tuiuti,3554953,RA de Campinas,Demais municípios,3,55,0,0,0,0,15,44,0,1,2,5
3510,Campinas,350041,Bragança Paulista,Vargem,3556354,RA de Campinas,Demais municípios,7,79,0,7,0,1,18,40,1,3,3,18
3510,Campinas,350043,Mogi Guaçu,Estiva Gerbi,3557303,RA de Campinas,Demais municípios,5,152,0,0,0,0,28,71,0,0,2,11
3510,Campinas,350043,Mogi Guaçu,Itapira,3522604,RA de Campinas,Demais municípios,128,653,1,8,0,2,364,351,5,7,11,152
3510,Campinas,350043,Mogi Guaçu,Mogi Guaçu,3530706,RA de Campinas,Demais municípios,325,1494,1,22,0,17,911,626,6,15,31,418
3510,Campinas,350043,Mogi Guaçu,Mogi Mirim,3530805,RA de Campinas,Demais municípios,391,1116,0,11,0,4,531,428,6,8,19,240
3510,Campinas,350048,Amparo,Amparo,3501905,RA de Campinas,Demais municípios,89,536,1,9,0,3,305,301,3,14,17,73
3510,Campinas,350048,Amparo,Lindóia,3527009,RA de Campinas,Demais municípios,10,60,0,1,0,0,18,35,0,2,0,13
3510,Campinas,350048,Amparo,Monte Alegre do Sul,3531209,RA de Campinas,Demais municípios,2,48,0,0,0,0,19,24,0,1,2,3
3510,Campinas,350048,Amparo,Serra Negra,3551603,RA de Campinas,Demais municípios,28,252,0,3,0,0,88,136,2,1,9,16
3510,Campinas,350048,Amparo,Águas de Lindóia,3500501,RA de Campinas,Demais municípios,34,191,0,3,0,1,65,87,2,2,7,26
