Região Geográfica Intermediária,Nome Região Geográfica Intermediária,Região Geográfica Imediata,Nome Região Geográfica Imediata,municipios,cod_ibge,reg_administrativa,reg_metropolitanas,Furto veiculo 2022,Furto outros 2022,Homicidio culposo outros 2022,Homicidio culposo por acidente 2022,Latrocinio 2022,Lesao culposa outros 2022,Lesao culposa acidente 2022,Lesao dolosa 2022,Vitimas homicidio 2022,Tentativa homicidio 2022,Total estupro 2022,Total roubos 2022
3510,Campinas,350038,Campinas,Campinas,3509502,RA de Campinas,RM de Campinas,3510,17252,2,94,5,57,1336,3548,121,74,312,5568
3510,Campinas,350038,Campinas,Holambra,3519055,RA de Campinas,RM de Campinas,11,81,0,1,0,1,22,25,0,0,2,3
3510,Campinas,350038,Campinas,Indaiatuba,3520509,RA de Campinas,RM de Campinas,170,1799,0,15,0,11,264,726,7,14,71,282
3510,Campinas,350038,Campinas,Jaguariúna,3524709,RA de Campinas,RM de Campinas,114,1004,0,11,0,1,167,150,0,3,18,108
3510,Campinas,350038,Campinas,Paulínia,3536505,RA de Campinas,RM de Campinas,200,1123,0,7,0,7,256,378,10,15,34,216
3510,Campinas,350038,Campinas,Pedreira,3537107,RA de Campinas,RM de Campinas,50,242,0,2,0,1,26,104,2,4,6,40
3510,Campinas,350038,Campinas,Santo Antônio de Posse,3548005,RA de Campinas,RM de Campinas,35,123,0,1,0,1,35,81,4,7,4,20
3510,Campinas,350038,Campinas,Valinhos,3556206,RA de Campinas,RM de Campinas,175,818,0,13,0,14,249,278,4,3,30,156
3510,Campinas,350038,Campinas,Vinhedo,3556701,RA de Campinas,RM de Campinas,72,496,0,9,0,5,148,187,4,6,22,88
3510,Campinas,350039,Jundiaí,Cabreúva,3508405,RA de Campinas,RM de Jundiai,34,274,0,3,0,1,40,117,3,5,28,31
3510,Campinas,350039,Jundiaí,Campo Limpo Paulista,3509601,RA de Campinas,RM de Jundiai,116,611,0,6,1,5,109,236,8,5,25,222
3510,Campinas,350039,Jundiaí,Itatiba,3523404,RA de Campinas,RM de Campinas,83,677,0,14,0,5,336,297,6,5,39,173
3510,Campinas,350039,Jundiaí,Itupeva,3524006,RA de Campinas,RM de Jundiai,59,485,0,12,0,1,89,206,6,2,21,87
3510,Campinas,350039,Jundiaí,Jarinu,3525201,RA de Campinas,RM de Jundiai,24,190,0,7,1,1,35,111,3,5,20,50
3510,Campinas,350039,Jundiaí,Jundiaí,3525904,RA de Campinas,RM de Jundiai,555,4800,0,42,1,23,614,1042,19,18,85,1080
3510,Campinas,350039,Jundiaí,Louveira,3527306,RA de Campinas,RM de Jundiai,32,243,0,8,1,1,42,118,0,2,25,43
