cod_ibge,municipios,Indice Criminalidade Normalizado 2014,Classificacao 2014,Indice Criminalidade Normalizado 2016,Classificacao 2016,Indice Criminalidade Normalizado 2018,Classificacao 2018,Indice Criminalidade Normalizado 2020,Classificacao 2020,Indice Criminalidade Normalizado 2022,Classificacao 2022
3500501,Aguas de Lindoia,0.5630325605895294,Médio,0.3354462419862994,Baixo,0.4809627333955333,Médio,0.013997559830021666,Muito Baixo,0.11325862075079444,Muito Baixo
3501905,Amparo,0.46509067381241004,Médio,0.5802101656685034,Médio,0.5131135366710599,Médio,0.022163514255192862,Muito Baixo,0.12565923280716154,Muito Baixo
3504107,Atibaia,0.8253872981281057,Muito Alto,0.9163724986682605,Muito Alto,0.6408383226371381,Alto,0.5048219656342975,Médio,0.34479402935439646,Baixo
3507100,Bom Jesus dos Perdoes,0.2638484330617403,Baixo,0.4641667789839421,Médio,0.4939435905713194,Médio,0.3535594999227367,Baixo,0.4126295223722004,Médio
3507605,Braganca Paulista,0.7805669709631832,Alto,0.6805550854472653,Alto,0.5682267200888726,Médio,0.38675074698148476,Baixo,0.38787714550896074,Baixo
3508405,Cabreuva,0.3126966892062653,Baixo,0.246862786512752,Baixo,0.30337530589095263,Baixo,0.2451032058214766,Baixo,0.19918141620565502,Muito Baixo
3509502,Campinas,1.0,Muito Alto,1.0,Muito Alto,1.0,Muito Alto,0.9811893339737143,Muito Alto,1.0,Muito Alto
3509601,Campo Limpo Paulista,0.49550499910762447,Médio,0.784688737078264,Alto,0.8879135406798996,Muito Alto,0.5127600119109901,Médio,0.55317532377353,Médio
3557303,Estiva Gerbi,0.6086933379524766,Alto,0.6453654936233176,Alto,0.5299721869235718,Médio,0.8062295652696457,Muito Alto,0.9441727233789245,Muito Alto
3519055,Holambra,0.30938548981325176,Baixo,0.2719965139164578,Baixo,0.281978312291099,Baixo,0.034219260402915265,Muito Baixo,0.0,Muito Baixo
3520509,Indaiatuba,0.30556015759161603,Baixo,0.23496443272251055,Baixo,0.3500328404036487,Baixo,0.1512622937289232,Muito Baixo,0.26688854372404347,Baixo
3522604,Itapira,0.6380503616734905,Alto,0.6173500162427861,Alto,0.6737216433085812,Alto,0.6742670207557638,Alto,0.5040696500069505,Médio
3523404,Itatiba,0.42470488723447175,Médio,0.5412222702180839,Médio,0.5907365135642239,Médio,0.3449468995405278,Baixo,0.39516647732646915,Baixo
3524006,Itupeva,0.41814835941831907,Médio,0.42795385082643667,Médio,0.5181406557756447,Médio,0.2879724831804282,Baixo,0.3386665257615762,Baixo
3524709,Jaguariuna,0.7936105069319673,Alto,0.687744221351623,Alto,0.9741571660326126,Muito Alto,0.45387920351742905,Médio,0.9015271579376132,Muito Alto
3525201,Jarinu,0.2593182458037305,Baixo,0.3071151570864894,Baixo,0.3301793579728847,Baixo,0.511745117887419,Médio,0.3109296249555006,Baixo
3525508,Joanopolis,0.22997549596870054,Baixo,0.3158909405602418,Baixo,0.6272937266152759,Alto,0.3639017367623886,Baixo,0.5418493578387024,Médio
3525904,Jundiai,0.6154276369421603,Alto,0.5829093163133756,Médio,0.48845112316430406,Médio,0.3850445769739191,Baixo,0.4930635086297392,Médio
3527009,Lindoia,0.4021139447379321,Médio,0.42227487193942914,Médio,0.3081758071002423,Baixo,1.0,Muito Alto,0.206134689596846,Baixo
3527306,Louveira,0.3384226221517223,Baixo,0.3782683234384717,Baixo,0.374100570077754,Baixo,0.2618796760846386,Baixo,0.11067433367751994,Muito Baixo
3530706,Mogi Guacu,0.7604280388146708,Alto,0.8786845357822973,Muito Alto,0.9342864837812496,Muito Alto,0.7971082509598812,Alto,0.7974028609220988,Alto
3530805,Mogi Mirim,0.8594559281166847,Muito Alto,0.9134267197680556,Muito Alto,0.914959192907756,Muito Alto,0.7925332893872393,Alto,0.7725191580721327,Alto
3531209,Monte Alegre do Sul,0.033801490717662384,Muito Baixo,0.0,Muito Baixo,0.0,Muito Baixo,0.0,Muito Baixo,0.11431545386510743,Muito Baixo
